2017-05-15 21:53:53.728 info  |==== grocket server version 1.8(low compatible 1.8) ==== | [pid=17248][tid=16148][err=2,No such file or directory][grocket.c:428:gr_main2]  
2017-05-15 21:53:53.728 info  |[init]4 processor                 | [pid=17248][tid=16148][err=2,No such file or directory][grocket.c:430:gr_main2]  
2017-05-15 21:53:53.728 info  |.\favicon.ico not found           | [pid=17248][tid=16148][err=2,No such file or directory][grocket.c:80:init_favicon]  
2017-05-15 21:53:53.733 info  |[init]ppid = 14104                | [pid=17248][tid=16148][err=2,No such file or directory][grocket.c:235:check_ppid]  
2017-05-15 21:53:53.733 info  |[init][performance]sse useless.   | [pid=17248][tid=16148][err=2,No such file or directory][grocket.c:445:gr_main2]  
2017-05-15 21:53:53.733 info  |[init]ENABLE_DEBUG_LOG disable, server debug log will not output | [pid=17248][tid=16148][err=2,No such file or directory][grocket.c:460:gr_main2]  
2017-05-15 21:53:53.733 info  |[init]ENABLE_INLINE_FUNCTION defined | [pid=17248][tid=16148][err=2,No such file or directory][grocket.c:471:gr_main2]  
2017-05-15 21:53:53.733 info  |[init]will bind TCP port 0.0.0.0:8000 | [pid=17248][tid=16148][err=0,No error][gr_config.c:591:load_listen_info]  
2017-05-15 21:53:53.775 info  |[init][library] ./base loadded    | [pid=17248][tid=16148][err=0,No error][gr_library_impl.c:177:gr_library_impl_init]  
2017-05-15 21:53:53.775 error |[init]DEBUG model. but ENABLE_DEBUG_LOG set to 0, server debug log will not output | [pid=17248][tid=16148][err=0,No error][grocket.c:517:gr_main2]  
2017-05-15 21:53:53.775 info  |[init]LOG level = DEBUG           | [pid=17248][tid=16148][err=0,No error][grocket.c:533:gr_main2]  
2017-05-15 21:53:53.785 info  |[init]USER module './caoxinyu_module' loadded | [pid=17248][tid=16148][err=0,No error][gr_module.c:138:user_module_load]  
2017-05-15 21:53:53.785 info  |[init]USER gr_version check OK. module=8, framework=8, framework.low=8 | [pid=17248][tid=16148][err=0,No error][gr_module.c:324:user_module_check_version]  
2017-05-15 21:53:53.786 warn  |[server]protocol.check_order default value is 'gcom,http,user'. valid value: gcom | user | http,user | http,gcom | gcom,http | gcom,user | http,gcom,user | gcom,http,user | [pid=17248][tid=16148][err=0,No error][gr_config.c:1265:gr_config_protocol_check_prder]  
2017-05-15 21:53:53.786 info  |[server]protocol.check_order=http,user | [pid=17248][tid=16148][err=0,No error][gr_module.c:1463:gr_module_init]  
2017-05-15 21:53:53.786 info  |[init]GRocket Server Started      | [pid=17248][tid=16148][err=0,No error][gr_server_impl.c:956:gr_server_main]  
2017-05-15 21:53:53.900 info  |[server]tcp.accept.thread_count from 0 adjust to 1 | [pid=17248][tid=16148][err=0,No error][gr_config.c:1015:gr_config_tcp_accept_thread_count]  
2017-05-15 21:53:53.900 info  |[init][tcp.accept.thread_count=1] | [pid=17248][tid=16148][err=0,No error][gr_server_impl.c:313:server_init]  
2017-05-15 21:53:53.900 info  |[init][tcp.listen0][tid=5468]runtine coming | [pid=17248][tid=5468][err=0,No error][gr_thread.c:324:gr_thread_runtine]  
2017-05-15 21:53:53.906 info  |[init][tcp.in.worker_count=4]     | [pid=17248][tid=16148][err=0,No error][gr_tcp_in.c:182:gr_tcp_in_init]  
2017-05-15 21:53:53.906 info  |[init]tcp.in init OK, worker_count=4 | [pid=17248][tid=16148][err=0,No error][gr_tcp_in.c:256:gr_tcp_in_init]  
2017-05-15 21:53:53.906 info  |[init][tcp.input 0][affinity=0]   | [pid=17248][tid=16148][err=0,No error][gr_thread.c:145:gr_get_cpu_affinity]  
2017-05-15 21:53:53.906 info  |[init][tcp.input 1][affinity=1]   | [pid=17248][tid=16148][err=0,No error][gr_thread.c:145:gr_get_cpu_affinity]  
2017-05-15 21:53:53.906 info  |[init][tcp.input 2][affinity=2]   | [pid=17248][tid=16148][err=0,No error][gr_thread.c:145:gr_get_cpu_affinity]  
2017-05-15 21:53:53.906 info  |[init][tcp.input 3][affinity=3]   | [pid=17248][tid=16148][err=0,No error][gr_thread.c:145:gr_get_cpu_affinity]  
2017-05-15 21:53:53.908 info  |[init][tcp.input 2][tid=16952]runtine coming | [pid=17248][tid=16952][err=0,No error][gr_thread.c:324:gr_thread_runtine]  
2017-05-15 21:53:53.908 info  |[init][tcp.input 3][tid=15216]runtine coming | [pid=17248][tid=15216][err=0,No error][gr_thread.c:324:gr_thread_runtine]  
2017-05-15 21:53:53.908 info  |[init][tcp.input 0][tid=5704]runtine coming | [pid=17248][tid=5704][err=0,No error][gr_thread.c:324:gr_thread_runtine]  
2017-05-15 21:53:53.908 info  |[init][tcp.input 1][tid=14312]runtine coming | [pid=17248][tid=14312][err=0,No error][gr_thread.c:324:gr_thread_runtine]  
2017-05-15 21:53:53.914 info  |[init]start listen TCP port 8000  | [pid=17248][tid=16148][err=997,Unknown error][gr_tcp_accept.c:438:gr_tcp_accept_add_listen_ports]  
2017-05-15 21:54:49.903 info  |[signal][sig=2]stopping signal    | [pid=17248][tid=11192][err=0,No error][gr_server_impl.c:176:process_signal]  
