2017-05-15 20:33:32.109 info  |==== grocket server version 1.8(low compatible 1.8) ==== | [pid=9884][tid=10180][err=2,No such file or directory][grocket.c:428:gr_main2]  
2017-05-15 20:33:32.109 info  |[init]4 processor                 | [pid=9884][tid=10180][err=2,No such file or directory][grocket.c:430:gr_main2]  
2017-05-15 20:33:32.109 info  |[init]debugrpt.dll loadded        | [pid=9884][tid=10180][err=2,No such file or directory][grocket.c:433:gr_main2]  
2017-05-15 20:33:32.109 info  |.\favicon.ico not found           | [pid=9884][tid=10180][err=2,No such file or directory][grocket.c:80:init_favicon]  
2017-05-15 20:33:32.114 info  |[init]ppid = 13688                | [pid=9884][tid=10180][err=2,No such file or directory][grocket.c:235:check_ppid]  
2017-05-15 20:33:32.114 info  |[init][performance]sse useless.   | [pid=9884][tid=10180][err=2,No such file or directory][grocket.c:445:gr_main2]  
2017-05-15 20:33:32.114 info  |[init]ENABLE_DEBUG_LOG disable, server debug log will not output | [pid=9884][tid=10180][err=2,No such file or directory][grocket.c:460:gr_main2]  
2017-05-15 20:33:32.114 info  |[init]ENABLE_INLINE_FUNCTION defined | [pid=9884][tid=10180][err=2,No such file or directory][grocket.c:471:gr_main2]  
2017-05-15 20:33:32.114 error |config file not found: D:\自己的项目\乐驿物流\grocket\grocket\win32_vc2010\grocketd.ini | [pid=9884][tid=10180][err=2,No such file or directory][gr_config.c:84:calc_ini_path]  
2017-05-15 20:33:32.114 error |[init]calc_module_path failed: r=0, path= | [pid=9884][tid=10180][err=2,No such file or directory][gr_config.c:690:gr_config_init]  
2017-05-15 20:33:32.114 fatal |[init]gr_config_init return error -1 | [pid=9884][tid=10180][err=2,No such file or directory][grocket.c:496:gr_main2]  
2017-05-15 20:34:38.408 info  |==== grocket server version 1.8(low compatible 1.8) ==== | [pid=15100][tid=15108][err=2,No such file or directory][grocket.c:428:gr_main2]  
2017-05-15 20:34:38.408 info  |[init]4 processor                 | [pid=15100][tid=15108][err=2,No such file or directory][grocket.c:430:gr_main2]  
2017-05-15 20:34:38.408 info  |[init]debugrpt.dll loadded        | [pid=15100][tid=15108][err=2,No such file or directory][grocket.c:433:gr_main2]  
2017-05-15 20:34:38.408 info  |.\favicon.ico not found           | [pid=15100][tid=15108][err=2,No such file or directory][grocket.c:80:init_favicon]  
2017-05-15 20:34:38.412 info  |[init]ppid = 10852                | [pid=15100][tid=15108][err=2,No such file or directory][grocket.c:235:check_ppid]  
2017-05-15 20:34:38.412 info  |[init][performance]sse useless.   | [pid=15100][tid=15108][err=2,No such file or directory][grocket.c:445:gr_main2]  
2017-05-15 20:34:38.412 info  |[init]ENABLE_DEBUG_LOG disable, server debug log will not output | [pid=15100][tid=15108][err=2,No such file or directory][grocket.c:460:gr_main2]  
2017-05-15 20:34:38.412 info  |[init]ENABLE_INLINE_FUNCTION defined | [pid=15100][tid=15108][err=2,No such file or directory][grocket.c:471:gr_main2]  
2017-05-15 20:34:38.413 error |config file not found: D:\自己的项目\乐驿物流\grocket\grocket\win32_vc2010\grocketd.ini | [pid=15100][tid=15108][err=2,No such file or directory][gr_config.c:84:calc_ini_path]  
